post_type,text
3,"['หา', 'สัญญา', 'หอ', 'มจพ', 'ย้าย', 'ปลาย', 'พฤศ', 'จิ', 'ธันวา', 'เรท', 'ราคา', 'ห้อง', '6000', 'บาท']"
1,"['ขาย', 'ตั๋วหนัง', 'black', 'panther', 'โรง', 'เมเจอร์', 'gateway', 'พรุ่งนี้', '121165', '1420', 'พากย์', 'ไทย', '180']"
1,"['กระโปรง', 'ศึกษา', 'เอว', '24', '28', 'เอว', '24', '20', 'เอว', '24', '20', 'เอว', '23', '20', 'เอ', 'เอว', '27', '18', 'ตัว', '90', 'บาท', 'ดู', 'นัด', 'รับหลัง', 'มอ']"
1,"['อนุญาต', 'ขาย', 'ขาย', 'ตู้', 'เย็น', 'Midea', '17', 'q', '1000', 'บาท', 'ขาย', 'เครื่อง', 'ซัก', 'ผ้า', '4', 'kg', '200', 'บาท', 'ขาย', 'หอดุษฎีมาศ', '2', 'บ']"
1,"['อนุญาต', 'ประกาศ', 'ประชาสัมพันธ์', 'สำหรับ', 'ศึกษา', 'สนใจ', 'เช่า', 'คอนโด', 'ราคา', '5000', 'ห้อง', 'เก๋', 'ดีไซน์', 'เริ่ด', 'ตึกA', 'ชั้น', '4', 'ขนาด', '295', 'ตรม', 'ราคา', 'กลาง', 'กลาง', 'ห้อง', 'สมุด', 'สำหรับ', 'อ่าน', 'หนังสือ', 'เตรียม', 'สอบ', 'ดืออ', 'ไฟ', 'ห้อง', 'แบก', 'โน้ต', 'บุ๊ก', 'เรียน', 'ออนไลน์', 'ทำ', 'งาน', 'แอร์ฉ่ำ', 'สนามบาสเกตบอล', 'สวน', 'เครื่อง', 'กาย', 'ฟิตเนส', 'บริการ', '50', 'บาท', 'สระ', 'ว่าย', 'น้ำ', 'บริการ', '50', 'บาท', 'รถ', 'ตู้', 'คอนโด', 'หน้ามหาลัย', '20', 'บาท', 'เฟอร์ครบ', 'ไมโครเวฟ', 'โซฟา', 'เตียง', 'นอน', 'ตู้', 'เสื้อผ้า', 'มัด', '2', 'เดือน', 'ล่วงหน้า', '1', 'เดือน', 'สัญญา', 'ต่ำ', '1', 'ปี', 'มอเตอร์ไซด์', '50', 'เดือน', 'จอด', '1', 'คัน', 'รถ', 'ยนต์', '300', 'เดือน', 'จอด', '1', 'คัน', 'ชำระ', 'ไฟ', 'น้ำจ่าย', '3', 'เดือน', 'นิติ', 'สนใจ', 'นัด', 'ดู', 'ห้อง', 'สอบถาม', 'โทร', '0980', '288946', 'แอม', 'ทัก', 'ib', 'ยินดี', 'ตอบ', 'ถาม']"
1,"['ขาย', 'สัญญา', 'หอ', 'หมู่บ้าน', 'สิ', 'ริน', '2', 'ห้อง', 'ชั้น', '1', '1', 'ห้อง', 'สัญญา', 'หอ', 'เรือน', 'ไพริน', 'สิ', 'ริน', '2', '4000', 'เดือน', '2', 'ห้อง', 'สัญญา', 'หอ', 'เรือน', 'เพ', 'รช', 'สิ', 'ริน', '2', '4000', 'เดือน', '3800', 'เดือน', '2', 'หอ', 'ติดกัน', 'น้ำ', '25', 'ไฟ', '65']"
1,"['ขออนุญาต', 'แอดมิน', 'โปร', 'แรง', 'ล้างรถ', 'คัน', '80', 'บาท', 'ทุกรุ่น', 'cc', 'ตั้งแต่วันนี้', 'สิ้นเดือน', 'พฤษภาคม', '2565', 'ล้าง', '10', 'ฟรี', '1', 'พิกัด', 'ซอยวงศ์', 'สว่าง', '11']"
1,"['the', 'curv', 'อยากได้', 'เราเตอร์', 'wifi', 'ไหม', 'ส่งต่อ', '3', 'bb', 'เดือน', '374', 'บาท', 'บริษัท', 'ติดตั้ง', 'โดยตรง', 'สัญญา', '6', 'เดือน', 'ต่อสัญญา', 'ความแรง', '1', 'gbp', '500', 'mbp']"
3,"['หา', 'หอพัก', 'ราคา', 'งบ', '500', 'คะพอดี', 'เพื่อน', 'หวัด']"
3,"['กลุ่มไลน์', 'ทีม', 'วิชา', '080303602', 'development', 'life', 'quality', 'ตอน', 'เรียน', '4', 'จันทร์', 'บ่าย', 'ทราบ', 'อาจารย์', 'ย้าย', 'สอน', 'ห้อง', 'ตาราง', '65604', 'เจอ', 'อาจารย์', 'ขอบคุณ']"
3,"['อยากได้', 'การ์ด', 'อวยพร', 'ม', 'ร้าน', 'ขาย', 'ไหม']"
3,"['ปล่อย', 'ตู้', 'เย็น', 'มือ', 'สอง', 'ไหม', 'ต้องการ', 'ราคา', '3000', 'นิดนึง']"
1,"['ต้องการ', 'ตัด', 'อะคริลิค', 'เลเซอร์คัท', 'อะคริลิค', 'สี', 'ขนาด', 'ต้องการ', 'ตัด', 'วัสดุ', 'ทัก', 'พูดคุย', 'ราคา', 'รัก', 'เหมาะ', 'ศึกษา', 'ประเมิน', 'ราคา', 'ติดต่อ', 'เพจ']"
1,"['ปล่อย', 'บัตร', 'คอน', 'jackson', 'wang', 'เสาร์', '26', 'โซน', 'b', '1', 'ใบ', '3700', '฿', 'ลด', '4000', '฿', 'นัด', 'เอกสาร', 'มอ', 'วันที่', '23']"
1,"['ขาย', 'KIN', 'HOUSE', 'เดือน', 'มีนาคม', 'สัญญา', '8000', 'บาท', 'ลด', '7500', 'เดือน', '5500', 'บาท', '13500', 'บาท', 'ราคา', 'ลด', 'ตอน', 'สัญญา', 'คืน', '8000', 'บาท', 'สัญญา', 'กค', '2566', 'ห้อง', 'สไตล์', 'LOFT', 'ผนัง', 'สี', 'ขาว', 'สี', 'ห้อง', 'เหมือน', 'รูป', 'ชั้น', '1', 'ห้อง', 'เดือน', '5500', '฿', 'น้ำ', '8', '฿', 'ไฟ', '18', '฿', 'ต่ำ', 'กลาง', 'กุญแจ', 'คีย์การ์ด', '2', 'ชุด', 'เงิน', 'ระบบ', 'รักษา', 'ปลอด', 'ภัย', 'keycard', 'รปภหน้า', 'หอ', 'เวลา', 'กลาง', 'คืน', 'บันได', 'หนี', 'ไฟ', 'กลาง', 'หอ', 'ชั้น', 'Free', 'WIFI', '1', 'user', '4', 'เครื่อง', 'เครื่อง', 'ซัก', 'ผ้า', 'ชั้น', 'เครื่อง', 'กรอง', 'น้ำ', 'ฟรี', 'ชั้น', '1', 'จ่าย', 'เช่า', '5', 'น้ำ', 'ขวด', 'ฟรี', '1', 'แพค', 'ที่นั่ง', 'กลาง', 'โต๊ะ', 'กิน', 'ข้าว', 'โต๊ะหน้า', 'หอ', 'โต๊ะ', 'สวน', 'โซฟา', 'เครื่อง', 'ไฟฟ้า', 'ห้อง', 'แอร์', 'เครื่อง', 'ทำ', 'น้ำ', 'อุ่น', 'ทีวี', 'LED', 'ตู้', 'เย็น', 'เฟอร์นิเจอร์', 'เตียง', '35', 'ฟุต', '2', 'เตียง', 'โซฟา', '2', 'นั่ง', 'โต๊ะ', 'หนังสือ', 'เก้าอี้', '2', 'ที่นั่ง', 'ตู้', 'เสื้อผ้า', 'บิ้ว', 'อิน', '2', 'ฝั่ง', 'อ่าง', 'ล้าง', 'จาน', 'ชั้น', 'วาง', 'ระเบียง', 'ราว', 'ตาก', 'ผ้า', 'ตัว', 'ห้องน้ำ', 'แบ่ง', 'โซน', 'เปียก', 'โซน', 'แห้ง', 'วาง', 'สำหรับ', 'อาบ', 'น้ำ', 'เดือน', 'มีนาคม', 'สนใจ', 'inbox', 'รูป', 'สอบถาม']"
1,"['ขาย', 'KIN', 'HOUSE', 'สัญญา', '8000', 'บาท', 'ลด', '7500', 'เดือน', '5500', 'บาท', '13500', 'บาท', 'ราคา', 'ลด', 'ตอน', 'สัญญา', 'คืน', '8000', 'บาท', 'สัญญา', 'กค', '2566', 'ห้อง', 'สไตล์', 'LOFT', 'ผนัง', 'สี', 'ขาว', 'สี', 'ห้อง', 'เหมือน', 'รูป', 'ชั้น', '1', 'ห้อง', 'เดือน', '5500', '฿', 'น้ำ', '8', '฿', 'ไฟ', '18', '฿', 'ต่ำ', 'กลาง', 'กุญแจ', 'คีย์การ์ด', '2', 'ชุด', 'เงิน', 'ระบบ', 'รักษา', 'ปลอด', 'ภัย', 'keycard', 'รปภหน้า', 'หอ', 'เวลา', 'กลาง', 'คืน', 'บันได', 'หนี', 'ไฟ', 'กลาง', 'หอ', 'ชั้น', 'Free', 'WIFI', '1', 'user', '4', 'เครื่อง', 'เครื่อง', 'ซัก', 'ผ้า', 'ชั้น', 'เครื่อง', 'กรอง', 'น้ำ', 'ฟรี', 'ชั้น', '1', 'จ่าย', 'เช่า', '5', 'น้ำ', 'ขวด', 'ฟรี', '1', 'แพค', 'ที่นั่ง', 'กลาง', 'โต๊ะ', 'กิน', 'ข้าว', 'โต๊ะหน้า', 'หอ', 'โต๊ะ', 'สวน', 'โซฟา', 'เครื่อง', 'ไฟฟ้า', 'ห้อง', 'แอร์', 'เครื่อง', 'ทำ', 'น้ำ', 'อุ่น', 'ทีวี', 'LED', 'ตู้', 'เย็น', 'เฟอร์นิเจอร์', 'เตียง', '35', 'ฟุต', '2', 'เตียง', 'โซฟา', '2', 'นั่ง', 'โต๊ะ', 'หนังสือ', 'เก้าอี้', '2', 'ที่นั่ง', 'ตู้', 'เสื้อผ้า', 'บิ้ว', 'อิน', '2', 'ฝั่ง', 'อ่าง', 'ล้าง', 'จาน', 'ชั้น', 'วาง', 'ระเบียง', 'ราว', 'ตาก', 'ผ้า', 'ตัว', 'ห้องน้ำ', 'แบ่ง', 'โซน', 'เปียก', 'โซน', 'แห้ง', 'วาง', 'สำหรับ', 'อาบ', 'น้ำ', 'เดือน', 'มกราคม', 'สนใจ', 'inbox', 'รูป', 'สอบถาม']"
0,"['เจอ', 'นก', 'หน้า', 'ตึก', 'คณะ', 'สถาปัตย์', 'นก', 'หาย', 'ติดต่อ', '0954073841', 'เพื่อน', 'เลี้ยง', 'โทร', 'เพื่อน', 'นก', 'คืน', 'Bell', 'Pasinee']"
1,"['ขาย', 'บัตร', 'บิ๊ก', 'เม้า', 'เท่', 'นค', 'ติดธุระ', 'ใบ', '15001600', 'ทัก', 'คุย', 'ราคา', 'หลักฐาน', 'การซื้อขาย', 'นัด', 'มอ', 'มอ', 'กทม']"
1,"['sold', 'อนุ', 'ญาติ', 'ส่งต่อ', 'iphon', '12', 'pro', '128', 'gb', 'ราคา', '21000', 'บาท', 'ตัว', 'เครื่อง', 'สภาพ', 'สวย', 'ใช้งาน', 'ปกติ', 'ทำ', 'ตก', 'มีตำหนิ', 'เครื่อง', 'ศูนย์', 'ไทย', 'ติด', 'ฟิลม์', 'กระจก', 'ใช้งาน', 'ติด', 'ฟิล์ม', 'กล้อง', 'เคส', 'กล้อง', 'อุปกรณ์', 'เดิม', 'ตัว', 'กล่อง', 'กล่อง', 'แถม', 'casitifi', 'ของแท้', 'มูลค่า', '1890', 'บาท', 'เคส', 'ใส', 'ringk', '390', 'บาท', 'ขาย', 'รุ่นใหม่', 'สนใจ', 'ทัก', 'ดู', 'รูป', 'วี', 'ดิ', 'โอ', 'คอ', 'ล', 'เช็ค', 'นัด', 'มจพ']"
1,"['แบ่ง', 'ขาย', 'ปลาย', 'appl', 'pencil', 'หัว', '230', 'บาท', '2', 'หัว', '450', 'บาท', 'ค้าบ', 'บบ', 'นัด', 'รับได้', 'มจพ', 'เย็น', 'ซื้อ', 'คืนนี้', 'ค้าบ']"
3,"['สอบถาม', 'วิชา', 'เสรี', 'science', 'daily', 'life', 'สอบ', 'กลาง', 'รึป่าว']"
1,"['ขาย', 'สัญญา', 'หอ', 'viewpoint', 'สัญญา', '10000', 'จ่าย', 'ล่วงหน้า', '1', 'เดือน', '5500', '16000', 'ตอน', 'สัญญา', 'คืน', '10000', 'ห้อง', 'เดือน', '5500', 'น้ำ', 'หน่วย', '18', '฿', 'ไฟ', 'หน่วย', '8', '฿', 'ตู้', 'เย็น', 'เครื่อง', 'ทำ', 'น้ำ', 'อุ่น', 'แอร์', 'เก้าอี้', 'ทำ', 'อาหาร', 'จอง', 'จอง', '5000', 'ย้าย', 'จ่าย', '11000', 'ประกัน', '5000', 'ห้อง', '5500', 'กุญแจ', '500', 'จอด', 'รถ', 'มอไซต์']"
1,"['ปล่อย', 'สัญญา', 'เช่า', 'นครอินทร์', 'เดือน', '7000', '฿', '23', 'คน', 'ห้อง', 'พิเศษ', 'ตรม', 'แปลน', 'ห้อง', 'พิเศษ', 'ชั้น', '26', 'วิว', 'สวย', 'มจพ', 'Mrt', 'แยกติวานนท์', 'กระทรวงสาธารณสุข', 'เครื่อง', 'ไฟฟ้า', 'เครื่อง', 'อากาศ', '2', 'ตัว', 'เครื่อง', 'ทำ', 'น้ำ', 'อุ่น', 'ตู้', 'เย็น', '2', 'ประตู', 'TV', 'ติดต่อ', 'inbox', 'เบอร์', 'ติดต่อ', '0800429829']"
